Num ppbs	979
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
7608000	511.08	42	38	119	0.00137978	0.00160149	12.9395
7610200	511.102	128	107	113	0.00221365	0.00221365	12.9432
7616000	511.16	37	124	58	0.00209229	0.00210427	12.9532
7638400	511.384	49	24	80	0.00212063	0.00212063	12.9917
7673200	511.732	140	121	34	0.00207826	0.00207826	13.0515
7673800	511.738	83	59	25	0.00170667	0.00170667	12.7916
7676800	511.768	66	82	25	0.00055749	0.00055749	11.5545
7688400	511.884	68	14	43	0.000584099	0.000590091	12.0396
7724000	512.24	10	134	19	0.00189222	0.00189222	13.1388
7753600	512.536	58	13	85	0.000509735	0.000509735	11.4737
7759400	512.594	2	120	12	0.00119132	0.00119132	13.1997
7784600	512.846	102	112	113	0.00149524	0.00153719	13.243
7785000	512.85	119	85	139	0.00220533	0.00220533	13.2437
7788200	512.882	51	27	119	0.000820881	0.000868817	13.2492
7803400	513.034	87	38	37	0.00195446	0.00195446	13.2753
7829600	513.296	118	44	95	0.0012263	0.0012263	13.3204
7838200	513.382	139	85	104	0.00203546	0.00203546	13.3352
7854000	513.54	104	123	105	0.0016838	0.0019115	13.3623
7891200	513.912	11	33	50	0.00216108	0.00235282	13.4263
7898800	513.988	73	134	115	0.000624671	0.000624671	12.4909
7905800	514.058	30	74	126	0.00156757	0.00156757	13.4514
7918800	514.188	132	69	95	0.00264584	0.00281961	13.4738
7919600	514.196	5	59	108	0.00251066	0.00251066	13.4752
7935800	514.358	139	98	110	0.00130863	0.00130863	13.503
7935800	514.358	39	17	57	0.00333116	0.00379853	13.503
7938800	514.388	28	114	53	0.00234682	0.00234682	13.5082
7960000	514.6	115	90	55	0.00118645	0.00143212	13.5446
